rank,subscribers,Title,category,video views,highest_yearly_earnings,Country
439,19000000,KBS WORLD TV,Entertainment,15126092508.0,5200000.0,South Korea
440,18900000,HiMan,People & Blogs,2855519150.0,1200000.0,Russia
442,18900000,Little Angel Espaïïïïïïïïï,Education,9813245108.0,6700000.0,Mexico
443,18800000,TED-Ed,Education,3654621568.0,1400000.0,United States of America
444,18800000,Sidemen,Entertainment,5257834105.0,3800000.0,United Kingdom
447,18800000,Farruko,Music,9573641299.0,4700000.0,United States of America
448,18800000,ýýýýýýýýýýýýýýýýýýýýýý,Entertainment,9594188708.0,3300000.0,Ukraine
449,18800000,Triggered Insaan,Comedy,3276891538.0,5200000.0,India
450,18700000,cKn,Entertainment,12295637162.0,5.0,Spain
452,18600000,Shemaroo Comedy,Entertainment,6047584292.0,4900000.0,India
454,18600000,GRAMMY GOLD OFFICIAL,Music,20196704276.0,8100000.0,Thailand
455,18600000,ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý | Arab Games ýýý,Gaming,8761255550.0,2100000.0,Saudi Arabia
457,18500000,Marmok,Gaming,3457618361.0,1800000.0,Russia
459,18500000,Like Nastya Vlog,People & Blogs,8147575884.0,2300000.0,Russia
460,18500000,Willie Salim,People & Blogs,4051072188.0,9500000.0,Indonesia
461,18400000,PDK Films,Entertainment,4120324310.0,692600.0,United States of America
462,18400000,TheWillyrex,Comedy,7038827526.0,528200.0,Spain
463,18400000,RsiamMusic : ïïïïïïïï,Music,11544297793.0,2600000.0,Thailand
465,18400000,shakiraVEVO,Music,25367126292.0,12800000.0,United States of America
466,18300000,Naisa Alifia Yuriza (N.A.Y),People & Blogs,1606834186.0,819000.0,Indonesia
467,18300000,Miley Cyrus,Entertainment,7760819588.0,6100000.0,United States of America
468,18300000,IShowSpeed,Gaming,1556003039.0,6700000.0,United States of America
471,18200000,INCRïï,People & Blogs,3213324455.0,866200.0,Brazil
472,18100000,Jake Fellman,Entertainment,13378360425.0,23900000.0,United States of America
473,18100000,GEN HALILINTAR,Entertainment,3306242674.0,1300000.0,Indonesia
